model_id,model_name,vehicle_type,fuel_type,transmission,engine_cc,seating_capacity,ex_showroom_price
M1178,Honda_Model_28,Sedan,Petrol,Automatic,1993,5,2017394
M1179,Honda_Model_29,Sedan,Diesel,Manual,1993,5,3207837
M1180,Honda_Model_30,Sedan,Hybrid,Automatic,1498,7,3064742
M1181,Honda_Model_31,Hatchback,Hybrid,Manual,1199,5,2921961
M1182,Honda_Model_32,SUV,Petrol,Manual,1498,5,2555768
M1183,Honda_Model_33,Sedan,Diesel,Automatic,1799,5,3323403
M1184,Honda_Model_34,Sedan,Hybrid,Manual,1799,7,3167577
M1185,Honda_Model_35,Sedan,Hybrid,Manual,1498,5,1382622
M1186,Honda_Model_36,Hatchback,Diesel,Manual,1993,7,4375193
M1187,Honda_Model_37,Hatchback,Diesel,Manual,1199,5,2808312
M1188,Honda_Model_38,SUV,Hybrid,Automatic,1498,7,3162172
M1189,Honda_Model_39,Hatchback,Hybrid,Manual,1498,5,707543
M1190,Honda_Model_40,Sedan,Petrol,Automatic,1799,5,1593643
M1191,Honda_Model_41,SUV,Petrol,Manual,1993,7,3796818
M1192,Honda_Model_42,Sedan,Hybrid,Manual,1199,5,4409294
M1193,Honda_Model_43,Sedan,Petrol,Automatic,1498,7,3994021
M1194,Honda_Model_44,Hatchback,Hybrid,Manual,1199,5,3193691
M1195,Honda_Model_45,SUV,Hybrid,Manual,1199,7,1538537
M1196,Honda_Model_46,Hatchback,Petrol,Manual,1498,5,1987489
M1197,Honda_Model_47,Hatchback,Petrol,Manual,1199,7,4184023
M1198,Honda_Model_48,SUV,Diesel,Manual,1799,5,4174840
M1199,Honda_Model_49,Sedan,Diesel,Manual,1993,7,1550262
M1200,Honda_Model_0,Sedan,Diesel,Automatic,1993,7,3985130
M1201,Honda_Model_1,SUV,Hybrid,Automatic,1993,5,4020953
M1202,Honda_Model_2,Sedan,Petrol,Automatic,1799,7,1495043
M1203,Honda_Model_3,SUV,Hybrid,Manual,1799,7,976016
M1204,Honda_Model_4,SUV,Petrol,Manual,1799,5,1535887
M1205,Honda_Model_5,Hatchback,Hybrid,Manual,1993,5,3618514
M1206,Honda_Model_6,SUV,Diesel,Automatic,1199,5,2607030
M1207,Honda_Model_7,Hatchback,Diesel,Manual,1799,5,1811290
M1208,Honda_Model_8,Sedan,Diesel,Automatic,1498,5,3446346
M1209,Honda_Model_9,Sedan,Hybrid,Manual,1799,5,1706298
M1210,Honda_Model_10,Sedan,Petrol,Manual,1498,7,1666220
M1211,Honda_Model_11,Sedan,Petrol,Manual,1993,7,4216594
M1212,Honda_Model_12,Hatchback,Diesel,Automatic,1498,7,3846143
M1213,Honda_Model_13,Sedan,Diesel,Manual,1799,5,3397881
M1214,Honda_Model_14,SUV,Diesel,Automatic,1799,5,1336024
M1215,Honda_Model_15,SUV,Diesel,Manual,1199,7,1295067
M1216,Honda_Model_16,SUV,Petrol,Manual,1993,7,2748149
M1217,Honda_Model_17,Hatchback,Hybrid,Automatic,1498,5,3813798
M1218,Honda_Model_18,Sedan,Hybrid,Manual,1993,7,2901600
M1219,Honda_Model_19,Sedan,Hybrid,Manual,1799,5,3069184
M1220,Honda_Model_20,Sedan,Hybrid,Manual,1199,5,4022099
M1221,Honda_Model_21,Hatchback,Diesel,Manual,1799,7,3970518
M1222,Honda_Model_22,SUV,Diesel,Automatic,1799,5,2331629
M1223,Honda_Model_23,SUV,Diesel,Automatic,1799,5,2990938
M1224,Honda_Model_24,Sedan,Hybrid,Manual,1498,5,1745358
M1225,Honda_Model_25,SUV,Diesel,Manual,1799,5,3861663
M1226,Honda_Model_26,SUV,Diesel,Automatic,1993,7,2608010
M1227,Honda_Model_27,Hatchback,Petrol,Manual,1993,5,1042775
M1228,Honda_Model_28,Hatchback,Petrol,Automatic,1199,5,1694233
M1229,Honda_Model_29,Hatchback,Diesel,Manual,1993,7,3322760
M1230,Honda_Model_30,Hatchback,Petrol,Automatic,1799,5,1008176
M1231,Honda_Model_31,Sedan,Petrol,Automatic,1799,5,3399203
M1232,Honda_Model_32,Hatchback,Diesel,Automatic,1993,7,3732563
M1233,Honda_Model_33,SUV,Diesel,Automatic,1199,7,4145874
M1234,Honda_Model_34,Sedan,Diesel,Manual,1199,5,2186630
M1235,Honda_Model_35,SUV,Diesel,Manual,1993,5,4408928
M1236,Honda_Model_36,SUV,Hybrid,Automatic,1498,7,4108424
M1237,Honda_Model_37,SUV,Hybrid,Automatic,1498,5,3341580
M1238,Honda_Model_38,Hatchback,Diesel,Automatic,1498,5,785591
M1239,Honda_Model_39,Hatchback,Petrol,Automatic,1498,5,1732673
M1240,Honda_Model_40,Sedan,Diesel,Manual,1993,7,2976961
M1241,Honda_Model_41,Sedan,Diesel,Automatic,1199,5,4403383
M1242,Honda_Model_42,Hatchback,Petrol,Automatic,1799,7,4057434
M1243,Honda_Model_43,SUV,Hybrid,Automatic,1799,7,2296925
M1244,Honda_Model_44,Sedan,Diesel,Automatic,1993,7,3155886
M1245,Honda_Model_45,Hatchback,Diesel,Automatic,1799,7,2746416
M1246,Honda_Model_46,Hatchback,Hybrid,Automatic,1498,5,2577132
M1247,Honda_Model_47,Hatchback,Hybrid,Automatic,1199,7,2711718
M1248,Honda_Model_48,SUV,Petrol,Manual,1993,5,3825384
M1249,Honda_Model_49,Hatchback,Hybrid,Automatic,1199,7,1184331
M1250,Honda_Model_0,Hatchback,Hybrid,Automatic,1993,7,2143774
M1251,Honda_Model_1,Hatchback,Hybrid,Automatic,1993,5,2651330
M1252,Honda_Model_2,Hatchback,Petrol,Manual,1993,7,1592566
M1253,Honda_Model_3,Sedan,Hybrid,Manual,1993,7,3141902
M1254,Honda_Model_4,Sedan,Hybrid,Manual,1199,5,2631430
M1255,Honda_Model_5,Hatchback,Petrol,Automatic,1799,7,1334198
M1256,Honda_Model_6,SUV,Hybrid,Automatic,1993,7,3638265
M1257,Honda_Model_7,Sedan,Hybrid,Automatic,1498,7,3421503
M1258,Honda_Model_8,Hatchback,Petrol,Manual,1993,5,763474
M1259,Honda_Model_9,Sedan,Diesel,Automatic,1199,7,2771407
M1260,Honda_Model_10,Sedan,Petrol,Manual,1993,5,1384873
M1261,Honda_Model_11,SUV,Hybrid,Manual,1498,5,2557600
M1262,Honda_Model_12,Hatchback,Hybrid,Manual,1199,5,3171492
M1263,Honda_Model_13,Hatchback,Hybrid,Manual,1993,7,2558626
M1264,Honda_Model_14,SUV,Petrol,Manual,1498,7,1800208
M1265,Honda_Model_15,SUV,Hybrid,Automatic,1199,7,3205777
M1266,Honda_Model_16,Hatchback,Hybrid,Automatic,1993,7,3855257
M1267,Honda_Model_17,Hatchback,Petrol,Manual,1498,5,1248442
M1268,Honda_Model_18,SUV,Diesel,Automatic,1199,5,1781458
M1269,Honda_Model_19,Sedan,Diesel,Automatic,1993,7,2317781
M1270,Honda_Model_20,Sedan,Hybrid,Manual,1199,7,1306776
M1271,Honda_Model_21,SUV,Petrol,Manual,1498,5,1239989
M1272,Honda_Model_22,Sedan,Hybrid,Automatic,1993,7,3003505
M1273,Honda_Model_23,SUV,Petrol,Automatic,1993,7,3542383
M1274,Honda_Model_24,Sedan,Petrol,Automatic,1993,7,2341089
M1275,Honda_Model_25,Sedan,Diesel,Automatic,1498,7,1605710
M1276,Honda_Model_26,Hatchback,Diesel,Manual,1799,7,1407852
M1277,Honda_Model_27,Hatchback,Petrol,Automatic,1993,7,1751564
M1278,Honda_Model_28,Sedan,Hybrid,Manual,1498,5,1784495
M1279,Honda_Model_29,Sedan,Diesel,Manual,1199,5,2251815
M1280,Honda_Model_30,Hatchback,Hybrid,Automatic,1199,5,2452362
M1281,Honda_Model_31,Hatchback,Diesel,Automatic,1498,5,3504679
M1282,Honda_Model_32,Hatchback,Diesel,Automatic,1799,7,709013
M1283,Honda_Model_33,SUV,Hybrid,Manual,1498,7,2180905
M1284,Honda_Model_34,Sedan,Diesel,Manual,1199,5,3456086
M1285,Honda_Model_35,Hatchback,Diesel,Manual,1199,5,2501952
M1286,Honda_Model_36,Sedan,Hybrid,Manual,1993,5,3853566
M1287,Honda_Model_37,SUV,Diesel,Automatic,1799,5,2828520
M1288,Honda_Model_38,SUV,Diesel,Manual,1498,5,3353668
M1289,Honda_Model_39,Hatchback,Diesel,Manual,1199,7,1995944
M1290,Honda_Model_40,SUV,Hybrid,Automatic,1199,7,2715791
M1291,Honda_Model_41,Sedan,Petrol,Manual,1199,5,4153969
M1292,Honda_Model_42,Hatchback,Hybrid,Manual,1498,5,2983997
M1293,Honda_Model_43,Sedan,Petrol,Automatic,1498,7,2694719
M1294,Honda_Model_44,Sedan,Diesel,Manual,1799,7,3205191
M1295,Honda_Model_45,SUV,Petrol,Manual,1993,7,1378870
M1296,Honda_Model_46,SUV,Hybrid,Manual,1993,5,2926954
M1297,Honda_Model_47,SUV,Hybrid,Manual,1993,7,3063731
M1298,Honda_Model_48,SUV,Diesel,Automatic,1199,5,757955
M1299,Honda_Model_49,SUV,Petrol,Manual,1993,5,1021651
M1300,Honda_Model_0,Hatchback,Diesel,Automatic,1199,7,751033
M1301,Honda_Model_1,Sedan,Diesel,Manual,1799,7,3538601
M1302,Honda_Model_2,Sedan,Hybrid,Automatic,1199,7,3833207
M1303,Honda_Model_3,Sedan,Petrol,Automatic,1799,5,4472028
M1304,Honda_Model_4,Sedan,Petrol,Automatic,1799,7,747219
M1305,Honda_Model_5,SUV,Petrol,Manual,1993,7,3486989
M1306,Honda_Model_6,Sedan,Petrol,Manual,1993,5,3280148
M1307,Honda_Model_7,Hatchback,Diesel,Manual,1199,7,2446657
M1308,Honda_Model_8,Hatchback,Diesel,Automatic,1498,7,898300
M1309,Honda_Model_9,Sedan,Hybrid,Manual,1993,5,2157315
M1310,Honda_Model_10,Sedan,Diesel,Manual,1993,5,2305190
M1311,Honda_Model_11,Hatchback,Diesel,Manual,1498,5,3171922
M1312,Honda_Model_12,Hatchback,Hybrid,Manual,1498,5,2970429
M1313,Honda_Model_13,SUV,Hybrid,Automatic,1993,5,1617629
M1314,Honda_Model_14,Hatchback,Hybrid,Automatic,1498,7,1728752
M1315,Honda_Model_15,SUV,Diesel,Manual,1199,7,3650319
M1316,Honda_Model_16,SUV,Diesel,Manual,1799,5,1066540
M1317,Honda_Model_17,SUV,Hybrid,Manual,1799,7,2813527
M1318,Honda_Model_18,SUV,Hybrid,Automatic,1993,7,833783
M1319,Honda_Model_19,SUV,Hybrid,Manual,1993,5,2694102
M1320,Honda_Model_20,Sedan,Diesel,Automatic,1199,5,971326
M1321,Honda_Model_21,Hatchback,Diesel,Automatic,1498,5,4463193
M1322,Honda_Model_22,SUV,Petrol,Manual,1993,7,2367930
M1323,Honda_Model_23,Hatchback,Diesel,Manual,1799,5,2623156
M1324,Honda_Model_24,Hatchback,Diesel,Manual,1199,7,1689035
M1325,Honda_Model_25,SUV,Diesel,Automatic,1199,7,4279894
M1326,Honda_Model_26,Sedan,Hybrid,Automatic,1498,7,2638814
M1327,Honda_Model_27,SUV,Diesel,Manual,1993,7,1892568
M1328,Honda_Model_28,Sedan,Hybrid,Automatic,1993,5,3343584
M1329,Honda_Model_29,Hatchback,Petrol,Manual,1199,7,820270
M1330,Honda_Model_30,Sedan,Petrol,Manual,1799,5,3455077
M1331,Honda_Model_31,Sedan,Hybrid,Automatic,1993,7,1837485
M1332,Honda_Model_32,Sedan,Hybrid,Automatic,1799,5,2195734
M1333,Honda_Model_33,Hatchback,Hybrid,Automatic,1199,5,1726597
M1334,Honda_Model_34,Hatchback,Diesel,Automatic,1993,5,1950208
M1335,Honda_Model_35,Sedan,Petrol,Manual,1799,7,2690771
M1336,Honda_Model_36,Sedan,Hybrid,Manual,1199,7,2403525
M1337,Honda_Model_37,SUV,Diesel,Manual,1799,7,995943
M1338,Honda_Model_38,Sedan,Petrol,Automatic,1993,5,3257145
M1339,Honda_Model_39,SUV,Diesel,Manual,1498,7,734510
M1340,Honda_Model_40,Sedan,Petrol,Automatic,1799,7,2245805
M1341,Honda_Model_41,SUV,Diesel,Automatic,1498,7,787919
M1342,Honda_Model_42,Hatchback,Petrol,Automatic,1993,5,1861619
M1343,Honda_Model_43,Sedan,Petrol,Manual,1498,7,1432726
M1344,Honda_Model_44,Sedan,Diesel,Automatic,1199,7,3219343
M1345,Honda_Model_45,Sedan,Hybrid,Automatic,1498,5,1015386
M1346,Honda_Model_46,Sedan,Petrol,Automatic,1799,5,3892274
M1347,Honda_Model_47,SUV,Hybrid,Automatic,1799,5,4331031
M1348,Honda_Model_48,Sedan,Diesel,Automatic,1498,5,2772544
M1349,Honda_Model_49,Hatchback,Hybrid,Automatic,1199,5,2427203
M1350,Honda_Model_0,Hatchback,Hybrid,Automatic,1993,5,1180265
M1351,Honda_Model_1,Sedan,Hybrid,Automatic,1498,7,3588481
M1352,Honda_Model_2,Hatchback,Hybrid,Automatic,1799,7,831235
M1353,Honda_Model_3,Sedan,Hybrid,Automatic,1799,5,4078414
M1354,Honda_Model_4,Sedan,Petrol,Automatic,1498,7,3111836
M1355,Honda_Model_5,Hatchback,Petrol,Automatic,1498,5,3273283
M1356,Honda_Model_6,Sedan,Petrol,Manual,1498,7,944367
M1357,Honda_Model_7,Hatchback,Diesel,Manual,1993,5,1516462
M1358,Honda_Model_8,SUV,Hybrid,Automatic,1799,5,3901041
M1359,Honda_Model_9,Sedan,Petrol,Automatic,1799,7,2663078
M1360,Honda_Model_10,SUV,Diesel,Automatic,1799,7,2827022
M1361,Honda_Model_11,Hatchback,Petrol,Manual,1993,7,1602997
M1362,Honda_Model_12,SUV,Petrol,Manual,1199,7,1873279
M1363,Honda_Model_13,SUV,Hybrid,Manual,1799,7,2171274
M1364,Honda_Model_14,Hatchback,Diesel,Automatic,1799,7,3116551
M1365,Honda_Model_15,SUV,Hybrid,Automatic,1199,7,1578839
M1366,Honda_Model_16,SUV,Hybrid,Automatic,1993,7,2390816
M1367,Honda_Model_17,Hatchback,Petrol,Automatic,1199,5,3255298
M1368,Honda_Model_18,SUV,Hybrid,Manual,1199,7,4289444
M1369,Honda_Model_19,Hatchback,Diesel,Automatic,1199,7,3741035
M1370,Honda_Model_20,SUV,Hybrid,Manual,1199,5,2209579
M1371,Honda_Model_21,Hatchback,Hybrid,Manual,1993,5,2644404
M1372,Honda_Model_22,Hatchback,Hybrid,Automatic,1993,5,3082970
M1373,Honda_Model_23,SUV,Petrol,Manual,1199,5,2528409
M1374,Honda_Model_24,SUV,Diesel,Manual,1498,7,1740210
M1375,Honda_Model_25,SUV,Petrol,Manual,1498,7,1002570
M1376,Honda_Model_26,Sedan,Petrol,Manual,1498,5,1798160
